layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
open,astar,10,13,1,24,4,1,0.08380396257677415,104.15999535154202,93,0.11404923391036885,0.2486036179126591
open,mlp,10,13,1,83,5,1,0.192742698965028,65.88150010028774,240,0.2542382242743246,0.18644588999450207
open,gnn,10,13,0,68,8,1,0.2732552830947412,243.7537934296551,240,1.4191460769376838,0.5261857508836935
open,orca,10,14,1,76,5,1,0.12223546175697798,96.04094387656485,115,0.09991209293984196,0.20289623542972232
open,rvo,10,14,1,29,5,1,0.12215412679930546,64.90399608524166,88,0.05631715343681103,22.01999897475947
open,astar,10,14,1,17,3,1,0.3971016009636442,98.55999661318188,88,0.10830607900824632,0.22007864688269116
open,mlp,10,14,1,102,5,1,0.19270130626341425,64.54400691442103,240,0.2520772742448339,0.18717380007728934
open,gnn,10,14,0,66,7,1,0.1053037594184513,241.62582519764544,240,1.3071890548188343,0.5288654569691668
open,orca,10,15,1,79,5,1,0.07605911990650838,101.86693310571792,122,0.11450901825428061,0.20165532659433905
open,rvo,10,15,1,29,5,1,0.17411765568086618,61.87999549140056,84,0.056891937829139774,22.132179677663814
open,astar,10,15,1,12,2,1,0.07961921625115843,94.07999638086036,84,0.12701560964947545,0.27935910371265243
open,mlp,10,15,1,80,4,1,0.026311012424633427,59.36903409404719,240,0.24803372706592602,0.19002171466127038
open,gnn,10,15,0,24,10,1,0.24434982537867259,244.08842268264738,240,1.0057196683862006,0.5238158841772625
open,orca,10,16,1,101,5,1,0.07178799882057176,80.45899312633956,102,0.06832050519750626,0.20568709199627241
open,rvo,10,16,1,30,5,1,0.1313977494924872,48.99999717965889,66,0.06592342935928645,22.15009625069797
open,astar,10,16,1,30,5,1,0.32005387134833846,75.03999775789555,67,0.11720511350199334,0.19391586503653385
open,mlp,10,16,1,122,5,1,0.07825715100899786,47.1521123052652,213,0.2357141604122726,0.19140325775238828
